[2026-07-20 16:07:56.978] [DEBUG] [Game] Game: draw | moves=81 | defense=11 | winner=Draw
[2026-07-20 16:07:57.098] [DEBUG] [Game] Game: draw | moves=81 | defense=5 | winner=Draw
[2026-07-20 16:07:57.154] [DEBUG] [Game] Game: ai2_win | moves=19 | defense=2 | winner=AI2
[2026-07-20 16:07:57.284] [DEBUG] [Game] Game: draw | moves=81 | defense=9 | winner=Draw
[2026-07-20 16:07:57.411] [DEBUG] [Game] Game: draw | moves=81 | defense=3 | winner=Draw
[2026-07-20 16:07:57.530] [DEBUG] [Game] Game: draw | moves=81 | defense=10 | winner=Draw
[2026-07-20 16:07:57.595] [DEBUG] [Game] Game: ai2_win | moves=25 | defense=5 | winner=AI2
[2026-07-20 16:07:57.717] [DEBUG] [Game] Game: draw | moves=81 | defense=4 | winner=Draw
[2026-07-20 16:07:57.826] [DEBUG] [Game] Game: ai2_win | moves=59 | defense=6 | winner=AI2
[2026-07-20 16:07:57.947] [DEBUG] [Game] Game: draw | moves=81 | defense=13 | winner=Draw
[2026-07-20 16:07:58.067] [DEBUG] [Game] Game: draw | moves=81 | defense=5 | winner=Draw
[2026-07-20 16:07:58.134] [DEBUG] [Game] Game: ai2_win | moves=28 | defense=4 | winner=AI2
[2026-07-20 16:07:58.257] [DEBUG] [Game] Game: draw | moves=81 | defense=5 | winner=Draw
[2026-07-20 16:07:58.385] [DEBUG] [Game] Game: draw | moves=81 | defense=6 | winner=Draw
[2026-07-20 16:07:58.510] [DEBUG] [Game] Game: draw | moves=81 | defense=6 | winner=Draw
[2026-07-20 16:07:58.629] [DEBUG] [Game] Game: ai1_win | moves=65 | defense=7 | winner=AI1
[2026-07-20 16:07:58.687] [DEBUG] [Game] Game: ai1_win | moves=20 | defense=4 | winner=AI1
[2026-07-20 16:07:58.803] [DEBUG] [Game] Game: draw | moves=81 | defense=11 | winner=Draw
